,PP,PGP,CRUDE
2015-01-01,8285.25,8285.25,47.325500106811525
2015-02-01,8748.0,8748.0,50.72473646465101
2015-03-01,8829.4,8829.4,47.854090603915125
2015-04-01,9348.0,9348.0,54.62809553600493
2015-05-01,9142.0,9142.0,59.37199993133545
2015-06-01,8786.0,8786.0,59.82863651622426
2015-07-01,8204.75,8204.75,50.93000013178045
2015-08-01,8041.0,8041.0,42.88904771350679
2015-09-01,7634.75,7634.75,45.46523829868862
2015-10-01,7296.75,7296.75,46.289545405994765
2015-11-01,6570.2,6570.2,42.92300014495849
2015-12-01,6312.5,6312.5,37.32727258855646
2016-01-01,6043.6,6043.6,31.7757894616378
2016-02-01,6256.0,6256.0,30.616499996185304
2016-03-01,7265.5,7265.5,37.960909063165836
2016-04-01,7067.25,7067.25,41.12476185389927
2016-05-01,6743.6,6743.6,46.796666644868395
2016-06-01,7473.5,7473.5,48.85318166559393
2016-07-01,8385.0,8385.0,44.799499702453616
2016-08-01,8335.25,8335.25,44.79913081293521
2016-09-01,8158.25,8158.25,45.225714365641274
2016-10-01,8360.25,8360.25,49.86949996948242
2016-11-01,8664.0,8664.0,45.881999778747556
2016-12-01,8972.0,8972.0,52.16571499052502
2017-01-01,8969.6,8969.6,52.608499717712405
2017-02-01,9167.25,9167.25,53.46210560045744
2017-03-01,8762.0,8762.0,49.673913209334664
2017-04-01,8080.2,8080.2,51.11736899928043
2017-05-01,7892.75,7892.75,48.53954575278542
2017-06-01,7762.5,7762.5,45.19590950012207
2017-07-01,7889.2,7889.2,46.67500038146973
2017-08-01,8814.25,8814.25,48.05782566899838
2017-09-01,8804.75,8804.75,49.876999855041504
2017-10-01,8657.0,8657.0,51.594545884565875
2017-11-01,8807.25,8807.25,56.662857418968564
2017-12-01,9100.0,9100.0,57.94699993133545
2018-01-01,9315.5,9315.5,63.65904780796596
2018-02-01,8873.5,8873.5,62.18368429886667
2018-03-01,8902.5,8902.5,62.771904899960475
2018-04-01,9035.4,9035.4,66.32523781912667
2018-05-01,9513.5,9513.5,69.98318099975586
2018-06-01,9640.75,9640.75,67.32285672142392
2018-07-01,9307.0,9307.0,70.58190518333798
2018-08-01,9883.0,9883.0,67.84521782916525
2018-09-01,10171.75,10171.75,70.0847372757761
2018-10-01,10307.5,10307.5,70.75782610022503
2018-11-01,10339.25,10339.25,56.693332853771395
2018-12-01,9925.2,9925.2,48.777369248239616
2019-01-01,9351.5,9351.5,51.550476255871004
2019-02-01,9189.333333333334,9189.333333333334,54.980525970458984
2019-03-01,9016.8,9016.8,58.16809517996652
2019-04-01,8887.25,8887.25,63.87095260620117
2019-05-01,8591.75,8591.75,60.865454413674094
2019-06-01,8309.8,8309.8,54.70650024414063
2019-07-01,8565.25,8565.25,57.546363830566406
2019-08-01,8616.75,8616.75,54.844090548428625
2019-09-01,8631.4,8631.4,56.967000007629395
2019-10-01,8524.75,8524.75,54.00565255206564
2019-11-01,8257.5,8257.5,57.070000076293944
2019-12-01,8015.6,8015.6,59.80476197742281
2020-01-01,7543.0,7543.0,57.52857190086728
2020-02-01,6613.0,6613.0,50.54210502222965
2020-03-01,6607.8,6607.8,30.445454597473145
2020-04-01,7196.75,7196.75,16.699047678992862
2020-05-01,7422.2,7422.2,28.527499961853028
2020-06-01,7610.5,7610.5,38.313636086203836
2020-07-01,7647.0,7647.0,40.76590919494629
2020-08-01,7748.0,7748.0,42.38809512910389
2020-09-01,7993.75,7993.75,39.625714074997674
2020-10-01,8063.0,8063.0,39.55454531582919
2020-11-01,8403.6,8403.6,41.346500396728516
2020-12-01,8336.25,8336.25,47.068181471391156
2021-01-01,8257.2,8257.2,52.102105592426504
2021-02-01,8961.0,8961.0,59.06105262354801
2021-03-01,9160.25,9160.25,62.357391357421875
2021-04-01,8722.75,8722.75,61.70380982898531
2021-05-01,8594.8,8594.8,65.15699977874756
2021-06-01,8452.75,8452.75,71.3527287569913
2021-07-01,8555.5,8555.5,72.43047659737724
2021-08-01,8407.2,8407.2,67.71136318553577
2021-09-01,9194.0,9194.0,71.54476202101935
2021-10-01,9193.6,9193.6,81.22285752069382
2021-11-01,8373.0,8373.0,78.653809320359
2021-12-01,8144.5,8144.5,71.69000070745295
2022-01-01,8380.75,8380.75,82.97900009155273
2022-02-01,8513.25,8513.25,91.62894680625514
2022-03-01,8847.0,8847.0,108.26217385996942
2022-04-01,8698.25,8698.25,101.64049949645997
2022-05-01,8709.8,8709.8,109.259522937593
2022-06-01,8540.5,8540.5,114.33904811314174
2022-07-01,7998.8,7998.8,99.38449974060059
2022-08-01,7951.0,7951.0,91.48260862930961
2022-09-01,8167.25,8167.25,83.8019049508231
2022-10-01,7912.25,7912.25,87.03095245361328
2022-11-01,7776.0,7776.0,84.38571457635788
2022-12-01,7776.5,7776.5,76.51809510730561
2023-01-01,7883.0,7883.0,78.16400032043457
2023-02-01,7835.5,7835.5,76.86052583393298
2023-03-01,7637.0,7637.0,73.37260934580927
2023-04-01,7566.4,7566.4,79.43842155054996
2023-05-01,7089.0,7089.0,71.62090925736861
2023-06-01,7070.25,7070.25,70.27428545270648
2023-07-01,7237.6,7237.6,76.03449974060058
2023-08-01,7596.75,7596.75,81.3208697775136
2023-09-01,7902.75,7902.75,89.43050003051758
2023-10-01,7567.75,7567.75,85.46681837602095
2023-11-01,7558.0,7558.0,77.37666720435733
2023-12-01,7480.0,7480.0,72.12350006103516
2024-01-01,7286.5,7286.5,73.86095210484096
2024-02-01,7375.0,7375.0,76.61000022888183
2024-03-01,7453.0,7453.0,80.40499992370606
2024-04-01,7577.5,7577.5,84.39409117265181
2024-05-01,7602.5,7602.5,78.6213642467152
2024-06-01,7663.0,7663.0,78.69842127749794
2024-07-01,7626.75,7626.75,80.48136381669478
2024-08-01,7563.75,7563.75,75.4336367520419
2024-09-01,7445.8,7445.8,69.37249946594238
2024-10-01,7487.0,7487.0,71.5617383873981
2024-11-01,7442.0,7442.0,69.5439998626709
2024-12-01,7411.8,7411.8,69.69761912027995
2025-01-01,7320.5,7320.5,75.0980951218378
2025-02-01,7342.25,7342.25,71.20894743266858
2025-03-01,7287.0,7287.0,67.93952469598679
