report_date,section,sentiment_finbert,sentiment_gpt,source_file,base_sentiment,section_clean
2019-01-31,World Oil Demand,0.9999671,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.9999671,demand
2019-01-31,Product Markets and Refining Operations,0.6063469,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.6063469,price_outlook
2019-01-31,Balance of Supply and Demand,-0.5722591,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,-0.5722591,demand
2019-01-31,World Oil Supply,0.22004431,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.22004431,supply
2019-01-31,World Oil Demand,0.18691452,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.18691452,demand
2019-01-31,World Oil Supply,-0.27134955,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,-0.27134955,supply
2019-01-31,Product Markets and Refining Operations,0.0013215311,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.0013215311,price_outlook
2019-01-31,Balance of Supply and Demand,0.7109589,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.7109589,demand
2019-02-28,World Oil Supply,0.9999166,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.9999166,supply
2019-02-28,Product Markets and Refining Operations,0.9999976,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.9999976,price_outlook
2019-02-28,Balance of Supply and Demand,0.9998232,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.9998232,demand
2019-02-28,World Oil Demand,0.04454802,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.04454802,demand
2019-02-28,World Oil Supply,0.19203268,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.19203268,supply
2019-02-28,Product Markets and Refining Operations,0.61803085,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.61803085,price_outlook
2019-02-28,Balance of Supply and Demand,-0.6666894,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,-0.6666894,demand
2019-02-28,hybrid,,-0.7,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_comparison_scores_gpt.csv,-0.7,overall
2019-02-28,World Oil Demand,0.9988466,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.9988466,demand
2019-03-31,World Oil Demand,0.49920228,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.49920228,demand
2019-03-31,World Oil Supply,0.25403854,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.25403854,supply
2019-03-31,Product Markets and Refining Operations,0.16087274,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.16087274,price_outlook
2019-03-31,Balance of Supply and Demand,-0.66719645,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,-0.66719645,demand
2019-03-31,hybrid,,-0.7,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_comparison_scores_gpt.csv,-0.7,overall
2019-03-31,World Oil Demand,-3.1910417e-08,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,-3.1910417e-08,demand
2019-03-31,World Oil Supply,-0.20037499,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,-0.20037499,supply
2019-03-31,Product Markets and Refining Operations,1.7101888e-07,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,1.7101888e-07,price_outlook
2019-03-31,Balance of Supply and Demand,0.99678946,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.99678946,demand
2019-04-30,Product Markets and Refining Operations,-0.008571607,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,-0.008571607,price_outlook
2019-04-30,World Oil Demand,3.0279598e-05,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,3.0279598e-05,demand
2019-04-30,World Oil Supply,-0.043286324,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,-0.043286324,supply
2019-04-30,Product Markets and Refining Operations,3.982602e-08,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,3.982602e-08,price_outlook
2019-04-30,Balance of Supply and Demand,0.9971912,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.9971912,demand
2019-04-30,World Oil Demand,-0.49853563,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,-0.49853563,demand
2019-04-30,World Oil Supply,0.21676451,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.21676451,supply
2019-04-30,hybrid,,-0.6,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_comparison_scores_gpt.csv,-0.6,overall
2019-04-30,Balance of Supply and Demand,-0.6671323,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,-0.6671323,demand
2019-05-31,Product Markets and Refining Operations,0.9994844,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.9994844,price_outlook
2019-05-31,Balance of Supply and Demand,-0.9491768,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,-0.9491768,demand
2019-05-31,Product Markets and Refining Operations,0.33888498,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.33888498,price_outlook
2019-05-31,hybrid,,-0.3,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_comparison_scores_gpt.csv,-0.3,overall
2019-05-31,World Oil Demand,0.018939538,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.018939538,demand
2019-05-31,World Oil Supply,-0.696514,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,-0.696514,supply
2019-05-31,World Oil Demand,0.00832575,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.00832575,demand
2019-05-31,World Oil Supply,0.17986178,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.17986178,supply
2019-05-31,Balance of Supply and Demand,-0.74589324,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,-0.74589324,demand
2019-06-30,World Oil Demand,0.6313257,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.6313257,demand
2019-06-30,World Oil Supply,0.22812502,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.22812502,supply
2019-06-30,Product Markets and Refining Operations,0.46924627,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.46924627,price_outlook
2019-06-30,Balance of Supply and Demand,-0.596021,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,-0.596021,demand
2019-06-30,World Oil Supply,-0.011930904,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,-0.011930904,supply
2019-06-30,Product Markets and Refining Operations,0.86984295,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.86984295,price_outlook
2019-06-30,World Oil Demand,0.9999981,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.9999981,demand
2019-06-30,Balance of Supply and Demand,0.9981745,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.9981745,demand
2019-06-30,hybrid,,-0.7,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_comparison_scores_gpt.csv,-0.7,overall
2019-07-31,World Oil Demand,-0.048134137,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,-0.048134137,demand
2019-07-31,World Oil Supply,-7.430573e-05,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,-7.430573e-05,supply
2019-07-31,Product Markets and Refining Operations,0.98347574,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.98347574,price_outlook
2019-07-31,Balance of Supply and Demand,0.9990852,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.9990852,demand
2019-07-31,hybrid,,-0.6,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_comparison_scores_gpt.csv,-0.6,overall
2019-07-31,World Oil Demand,-0.01218062,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,-0.01218062,demand
2019-07-31,World Oil Supply,0.080929354,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.080929354,supply
2019-07-31,Product Markets and Refining Operations,0.31540176,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.31540176,price_outlook
2019-07-31,Balance of Supply and Demand,-0.6001787,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,-0.6001787,demand
2019-08-31,World Oil Demand,0.3425445,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.3425445,demand
2019-08-31,Product Markets and Refining Operations,0.023984015,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.023984015,price_outlook
2019-08-31,Balance of Supply and Demand,-0.94307387,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,-0.94307387,demand
2019-08-31,hybrid,,-0.6,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_comparison_scores_gpt.csv,-0.6,overall
2019-08-31,Product Markets and Refining Operations,1.8184955e-09,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,1.8184955e-09,price_outlook
2019-08-31,World Oil Supply,-0.00016037229,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,-0.00016037229,supply
2019-08-31,World Oil Demand,0.9962757,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.9962757,demand
2019-08-31,World Oil Supply,0.012735819,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.012735819,supply
2019-08-31,Balance of Supply and Demand,-0.7153792,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,-0.7153792,demand
2019-09-30,World Oil Supply,-0.00039385413,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,-0.00039385413,supply
2019-09-30,hybrid,,-0.4,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_comparison_scores_gpt.csv,-0.4,overall
