Month,Average Price,Report
Aug-18,1341,bvse_market_report_plastics_2019_01
Sep-18,1349,bvse_market_report_plastics_2019_01
Oct-18,1331,bvse_market_report_plastics_2019_01
Nov-18,1297,bvse_market_report_plastics_2019_01
Dec-18,1230,bvse_market_report_plastics_2019_01
Jan-19,1207,bvse_market_report_plastics_2019_02
Feb-19,1212,bvse_market_report_plastics_2019_03
Mar-19,1240,bvse_market_report_plastics_2019_04
Apr-19,1276,bvse_market_report_plastics_2019_05
May-19,1276,bvse_market_report_plastics_2019_06
Jun-19,1254,bvse_market_report_plastics_2019_07
Jul-19,1172,bvse_market_report_plastics_2019_08
Aug-19,1170,bvse_market_report_plastics_2019_09
Sep-19,1144,bvse_market_report_plastics_2019_10
Oct-19,1140,bvse_market_report_plastics_2019_11
Nov-19,1107,bvse_market_report_plastics_2019_12
Dec-19,1097,bvse_market_report_plastics_2020_01
Jan-20,1097,bvse_market_report_plastics_2020_02
Feb-20,1070,bvse_market_report_plastics_2020_03
Mar-20,1027,bvse_market_report_plastics_2020_04
Apr-20,916,bvse_market_report_plastics_2020_05
May-20,882,bvse_market_report_plastics_2020_06
Jun-20,910,bvse_market_report_plastics_2020_07
Jul-20,944,bvse_market_report_plastics_2020_08
Aug-20,961,bvse_market_report_plastics_2020_09
Sep-20,978,bvse_market_report_plastics_2020_10
Oct-20,994,bvse_market_report_plastics_2020_11
Nov-20,1011,bvse_market_report_plastics_2020_12
Dec-20,1075,bvse_market_report_plastics_2021_01
Jan-21,1214,bvse_market_report_plastics_2021_02
Feb-21,1373,bvse_market_report_plastics_2021_03
Mar-21,1706,bvse_market_report_plastics_2021_04
Apr-21,1936,bvse_market_report_plastics_2021_05
May-21,2020,bvse_market_report_plastics_2021_06
Jun-21,1960,bvse_market_report_plastics_2021_07
Jul-21,1860,bvse_market_report_plastics_2021_08
Aug-21,1826,bvse_market_report_plastics_2021_09
Sep-21,1822,bvse_market_report_plastics_2021_10
Oct-21,1834,bvse_market_report_plastics_2021_11
Nov-21,1966,bvse_market_report_plastics_2021_12
Dec-21,1968,bvse_market_report_plastics_2022_01
Jan-22,1971,bvse_market_report_plastics_2022_02
Feb-22,1925,bvse_market_report_plastics_2022_03
Mar-22,2035,bvse_market_report_plastics_2022_04
Apr-22,2255,bvse_market_report_plastics_2022_05
May-22,2188,bvse_market_report_plastics_2022_06
Jun-22,2091,bvse_market_report_plastics_2022_07
Jul-22,1992,bvse_market_report_plastics_2022_08
Aug-22,1833,bvse_market_report_plastics_2022_09
Sep-22,1717,bvse_market_report_plastics_2022_10
Oct-22,1694,bvse_market_report_plastics_2022_11
Nov-22,1679,bvse_market_report_plastics_2022_12
Dec-22,1624,bvse_market_report_plastics_2023_01
Jan-23,1569,bvse_market_report_plastics_2023_02
Feb-23,1578,bvse_market_report_plastics_2023_03
Mar-23,1569,bvse_market_report_plastics_2023_04
Apr-23,1541,bvse_market_report_plastics_2023_05
May-23,1520,bvse_market_report_plastics_2023_06
Jun-23,1397,bvse_market_report_plastics_2023_07
Jul-23,1337,bvse_market_report_plastics_2023_08
Aug-23,1345,bvse_market_report_plastics_2023_09
Sep-23,1414,bvse_market_report_plastics_2023_10
Oct-23,1462,bvse_market_report_plastics_2023_11
Nov-23,1394,bvse_market_report_plastics_2023_12
Dec-23,1341,bvse_market_report_plastics_2024_01
Jan-24,1343,bvse_market_report_plastics_2024_02
Feb-24,1428,bvse_market_report_plastics_2024_03
Mar-24,1500,bvse_market_report_plastics_2024_04
Apr-24,1514,bvse_market_report_plastics_2024_05
May-24,1473,bvse_market_report_plastics_2024_06
Jun-24,1444,bvse_market_report_plastics_2024_07
Jul-24,1423,bvse_market_report_plastics_2024_08
Aug-24,1453,bvse_market_report_plastics_2024_09
Sep-24,1458,bvse_market_report_plastics_2024_10
Oct-24,1394,bvse_market_report_plastics_2024_11
Nov-24,1391,bvse_market_report_plastics_2024_12
Dec-24,1387,bvse_market_report_plastics_2025_01
Jan-25,1393,bvse_market_report_plastics_2025_02
Feb-25,1444,bvse_market_report_plastics_2025_03
Mar-25,1457,bvse_market_report_plastics_2025_04
Apr-25,1435,bvse_market_report_plastics_2025_05
May-25,1383,bvse_market_report_plastics_2025_06
Jun-25,1370,bvse_market_report_plastics_2025_07
Jul-25,1356,bvse_market_report_plastics_2025_08
