Month,PP_Avg_EUR_per_t,Date
Aug 2018,1470.0,2018-08-01
Sep 2018,1470.0,2018-09-01
Oct 2018,1470.0,2018-10-01
Nov 2018,1465.0,2018-11-01
Dec 2018,1405.0,2018-12-01
Jan 2019,1385.0,2019-01-01
Feb 2019,1385.0,2019-02-01
Mar 2019,1410.0,2019-03-01
Apr 2019,1430.0,2019-04-01
May 2019,1430.0,2019-05-01
Jun 2019,1430.0,2019-06-01
Jul 2019,1350.0,2019-07-01
Aug 2019,1340.0,2019-08-01
Sep 2019,1260.0,2019-09-01
Oct 2019,1260.0,2019-10-01
Nov 2019,1230.0,2019-11-01
Dec 2019,1230.0,2019-12-01
Jan 2020,1230.0,2020-01-01
Feb 2020,1180.0,2020-02-01
Mar 2020,1140.0,2020-03-01
Apr 2020,1040.0,2020-04-01
May 2020,995.0,2020-05-01
Jun 2020,1025.0,2020-06-01
Jul 2020,1055.0,2020-07-01
Aug 2020,1070.0,2020-08-01
Sep 2020,1060.0,2020-09-01
Oct 2020,1060.0,2020-10-01
Nov 2020,1060.0,2020-11-01
Dec 2020,1102.5,2020-12-01
Jan 2021,1255.0,2021-01-01
Feb 2021,1475.0,2021-02-01
Mar 2021,1775.0,2021-03-01
Apr 2021,2025.0,2021-04-01
May 2021,2125.0,2021-05-01
Jun 2021,2175.0,2021-06-01
Jul 2021,2175.0,2021-07-01
Aug 2021,2175.0,2021-08-01
Sep 2021,2175.0,2021-09-01
Oct 2021,2175.0,2021-10-01
Nov 2021,2225.0,2021-11-01
Dec 2021,2225.0,2021-12-01
Jan 2022,2225.0,2022-01-01
Feb 2022,2175.0,2022-02-01
Mar 2022,2275.0,2022-03-01
Apr 2022,2475.0,2022-04-01
May 2022,2400.0,2022-05-01
Jun 2022,2300.0,2022-06-01
Jul 2022,2130.0,2022-07-01
Aug 2022,1980.0,2022-08-01
Sep 2022,1780.0,2022-09-01
Oct 2022,1730.0,2022-10-01
Nov 2022,1720.0,2022-11-01
Dec 2022,1675.0,2022-12-01
Jan 2023,1575.0,2023-01-01
Feb 2023,1615.0,2023-02-01
Mar 2023,1620.0,2023-03-01
Apr 2023,1580.0,2023-04-01
May 2023,1565.0,2023-05-01
Jun 2023,1470.0,2023-06-01
Jul 2023,1400.0,2023-07-01
Aug 2023,1400.0,2023-08-01
Sep 2023,1445.0,2023-09-01
Oct 2023,1475.0,2023-10-01
Nov 2023,1425.0,2023-11-01
Dec 2023,1385.0,2023-12-01
Jan 2024,1395.0,2024-01-01
Feb 2024,1445.0,2024-02-01
Mar 2024,1505.0,2024-03-01
Apr 2024,1540.0,2024-04-01
May 2024,1515.0,2024-05-01
Jun 2024,1475.0,2024-06-01
Jul 2024,1475.0,2024-07-01
Aug 2024,1500.0,2024-08-01
Sep 2024,1500.0,2024-09-01
Oct 2024,1460.0,2024-10-01
Nov 2024,1457.5,2024-11-01
Dec 2024,1445.0,2024-12-01
Jan 2025,1445.0,2025-01-01
Feb 2025,1495.0,2025-02-01
Mar 2025,1495.0,2025-03-01
Apr 2025,1445.0,2025-04-01
