"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2025","7,287.00","7,302.00","7,351.00","7,230.00","0.03K","-0.53%"
"02/23/2025","7,326.00","7,348.00","7,356.00","7,271.00","0.19K","-0.52%"
"02/16/2025","7,364.00","7,346.00","7,386.00","7,340.00","1.31K","0.25%"
"02/09/2025","7,346.00","7,358.00","7,400.00","7,273.00","0.08K","0.18%"
"02/02/2025","7,333.00","7,296.00","7,350.00","7,296.00","0.19K","0.16%"
"01/26/2025","7,321.00","7,309.00","7,344.00","7,298.00","0.41K","0.16%"
"01/19/2025","7,309.00","7,372.00","7,388.00","7,296.00","0.11K","-0.85%"
"01/12/2025","7,372.00","7,300.00","7,397.00","7,283.00","6.47K","1.26%"
"01/05/2025","7,280.00","7,359.00","7,363.00","7,270.00","2.68K","-1.36%"
"12/29/2024","7,380.00","7,356.00","7,419.00","7,338.00","18.27K","0.08%"
"12/22/2024","7,374.00","7,364.00","7,436.00","7,345.00","83.25K","-0.04%"
"12/15/2024","7,377.00","7,459.00","7,464.00","7,349.00","173.60K","-1.11%"
"12/08/2024","7,460.00","7,468.00","7,468.00","7,422.00","0.16K","-0.11%"
"12/01/2024","7,468.00","7,498.00","7,656.00","7,441.00","0.36K","-0.09%"
"11/24/2024","7,475.00","7,472.00","7,513.00","7,457.00","0.92K","-0.39%"
"11/17/2024","7,504.00","7,400.00","7,525.00","7,371.00","6.53K","1.01%"
"11/10/2024","7,429.00","7,360.00","7,469.00","7,360.00","1.43K","0.94%"
"11/03/2024","7,360.00","7,382.00","7,450.00","7,104.00","0.21K","-0.61%"
"10/27/2024","7,405.00","7,465.00","7,494.00","7,354.00","1.05K","-0.79%"
"10/20/2024","7,464.00","7,429.00","7,507.00","7,409.00","4.55K","-0.03%"
"10/13/2024","7,466.00","7,613.00","7,656.00","7,433.00","0.53K","-1.93%"
"10/06/2024","7,613.00","7,608.00","7,672.00","7,512.00","0.77K","1.97%"
"09/29/2024","7,466.00","7,401.00","7,549.00","7,400.00","0.81K","0.84%"
"09/22/2024","7,404.00","7,362.00","7,419.00","7,339.00","2.19K","-0.18%"
"09/15/2024","7,417.00","7,373.00","7,429.00","7,319.00","6.29K","-1.28%"
"09/08/2024","7,513.00","7,421.00","7,475.00","7,407.00","0.77K","1.13%"
"09/01/2024","7,429.00","7,594.00","7,666.00","7,416.00","6.85K","-2.17%"
"08/25/2024","7,594.00","7,563.00","7,662.00","7,555.00","85.78K","0.56%"
"08/18/2024","7,552.00","7,543.00","7,614.00","7,521.00","225.18K","-0.15%"
"08/11/2024","7,563.00","7,532.00","7,590.00","7,504.00","277.06K","0.23%"
"08/04/2024","7,546.00","7,629.00","7,969.00","7,530.00","0.27K","-0.87%"
"07/28/2024","7,612.00","7,582.00","7,626.00","7,530.00","0.87K","0.40%"
"07/21/2024","7,582.00","7,593.00","7,624.00","7,551.00","2.12K","-0.35%"
"07/14/2024","7,609.00","7,656.00","7,670.00","7,596.00","5.04K","-1.23%"
"07/07/2024","7,704.00","7,749.00","7,749.00","7,627.00","0.30K","-0.58%"
"06/30/2024","7,749.00","7,718.00","7,960.00","7,677.00","1.93K","0.49%"
"06/23/2024","7,711.00","7,670.00","7,730.00","7,606.00","1.82K","0.44%"
"06/16/2024","7,677.00","7,618.00","7,714.00","7,613.00","4.11K","1.16%"
"06/09/2024","7,589.00","7,589.00","7,589.00","7,589.00","0.41K","0.00%"
"06/02/2024","7,589.00","7,740.00","7,751.00","7,562.00","1.18K","-2.01%"
"05/26/2024","7,745.00","7,657.00","7,798.00","7,632.00","3.73K","1.15%"
"05/19/2024","7,657.00","7,665.00","7,718.00","7,621.00","5.60K","1.92%"
"05/12/2024","7,513.00","7,495.00","7,729.00","7,100.00","1.18K","0.24%"
"05/05/2024","7,495.00","7,505.00","7,579.00","7,480.00","5.76K","-1.32%"
