filename,year,month_name,section,finbert_sentiment,supply_up,supply_down,demand_up,demand_down,price_up,price_down
MOMR_January_2019.pdf,2019,January,World Oil Demand,0.18691452,0.01477,0.00633,0.00844,0.00633,0.0,0.00211
MOMR_January_2019.pdf,2019,January,World Oil Supply,0.22004431,0.00217,0.00316,0.00049,0.00345,0.0,0.00059
MOMR_January_2019.pdf,2019,January,Product Markets and Refining Operations,0.6063469,0.0,0.00692,0.0,0.00692,0.0,0.00346
MOMR_January_2019.pdf,2019,January,Balance of Supply and Demand,-0.5722591,0.00037,0.0,0.0,0.00074,0.0,0.0
MOMR_February_2019.pdf,2019,February,World Oil Demand,0.04454802,0.00636,0.00636,0.0,0.00636,0.0,0.0
MOMR_February_2019.pdf,2019,February,World Oil Supply,0.19203268,0.00146,0.00321,0.00088,0.00292,0.00039,0.00078
MOMR_February_2019.pdf,2019,February,Product Markets and Refining Operations,0.61803085,0.0,0.00671,0.0,0.00671,0.0,0.00671
MOMR_February_2019.pdf,2019,February,Balance of Supply and Demand,-0.6666894,0.00031,0.00061,0.0,0.00092,0.0,0.0
MOMR_March_2019.pdf,2019,March,World Oil Demand,0.49920228,0.02885,0.00481,0.01442,0.00481,0.0,0.0
MOMR_March_2019.pdf,2019,March,World Oil Supply,0.25403854,0.00128,0.0051,0.0002,0.0052,0.00029,0.00039
MOMR_March_2019.pdf,2019,March,Product Markets and Refining Operations,0.16087274,0.00353,0.00353,0.0,0.00707,0.0,0.00707
MOMR_March_2019.pdf,2019,March,Balance of Supply and Demand,-0.66719645,0.00031,0.00031,0.0,0.00092,0.0,0.0
MOMR_April_2019.pdf,2019,April,World Oil Demand,-0.49853563,0.0,0.0,0.0,0.0,0.0,0.0038
MOMR_April_2019.pdf,2019,April,World Oil Supply,0.21676451,0.00177,0.00344,0.0002,0.00364,0.0002,0.00049
MOMR_April_2019.pdf,2019,April,Product Markets and Refining Operations,-0.008571607,0.0,0.00302,0.0,0.00302,0.00302,0.0
MOMR_April_2019.pdf,2019,April,Balance of Supply and Demand,-0.6671323,0.0003,0.0,0.0,0.00061,0.0,0.0
MOMR_May_2019.pdf,2019,May,World Oil Demand,0.018939538,0.0102,0.0051,0.0051,0.0051,0.0,0.0
MOMR_May_2019.pdf,2019,May,World Oil Supply,0.17986178,0.00198,0.00397,0.0005,0.00426,0.0001,0.00059
MOMR_May_2019.pdf,2019,May,Product Markets and Refining Operations,0.33888498,0.00336,0.01007,0.00336,0.01007,0.0,0.0
MOMR_May_2019.pdf,2019,May,Balance of Supply and Demand,-0.9491768,0.0003,0.0003,0.0,0.0003,0.0,0.0
MOMR_June_2019.pdf,2019,June,World Oil Demand,0.6313257,0.01014,0.00676,0.00676,0.00338,0.0,0.0
MOMR_June_2019.pdf,2019,June,World Oil Supply,0.22812502,0.00135,0.00297,0.00036,0.00288,9e-05,0.00036
MOMR_June_2019.pdf,2019,June,Product Markets and Refining Operations,0.46924627,0.0,0.0,0.0,0.0,0.0,0.0029
MOMR_June_2019.pdf,2019,June,Balance of Supply and Demand,-0.596021,0.0003,0.0,0.0,0.00061,0.0,0.0
MOMR_July_2019.pdf,2019,July,World Oil Demand,-0.01218062,0.03155,0.00243,0.01699,0.00243,0.0,0.0
MOMR_July_2019.pdf,2019,July,World Oil Supply,0.080929354,0.00298,0.0028,0.00063,0.0028,0.0,0.00045
MOMR_July_2019.pdf,2019,July,Product Markets and Refining Operations,0.31540176,0.0027,0.0,0.0,0.0,0.0,0.00539
MOMR_July_2019.pdf,2019,July,Balance of Supply and Demand,-0.6001787,0.00033,0.00066,0.0,0.00033,0.0,0.0
MOMR_August_2019.pdf,2019,August,World Oil Demand,0.3425445,0.00393,0.00196,0.00196,0.00196,0.0,0.0
MOMR_August_2019.pdf,2019,August,World Oil Supply,0.012735819,0.00243,0.00306,0.00072,0.00333,0.00027,9e-05
MOMR_August_2019.pdf,2019,August,Product Markets and Refining Operations,0.023984015,0.0,0.00278,0.00278,0.00278,0.00278,0.00278
